TYPE,LATITUDE,LONGITUDe,SUSTAINED WINDS
TS,19.5,125.8,45
TS,19.6,126.8,45
TS,19.7,127.9,45
TS,19.7,129,45
TS,15.6,101,45
TS,16.6,103.4,45
TS,17.4,105.1,45
TS,17.9,106.2,45
TS,18.5,107.3,45
TS,19.2,108.5,45
TS,20,109.7,45
TS,20.8,110.9,45
TS,21.6,112,45
TS,22.1,113.6,45
TS,22.5,115.1,45
TS,23.3,115.6,45
TS,24.3,115.8,45
TS,25.6,115.9,45
TS,26.9,116,45
TS,27.9,116,45
TS,28.8,116,45
TS,29.9,115.8,45
TS,31,115.5,45
TD,31.7,115.3,25
TD,31.9,115.2,25
TS,17.1,105.6,45
TS,17.9,105.6,45
TS,18.6,105.7,45
TS,19.2,105.7,45
TS,19.8,105.8,45
TS,20.4,106.2,45
TS,20.9,106.7,45
TS,21.2,106.9,45
TS,21.4,107.2,45
TS,21.6,107.5,45
TS,21.8,107.8,45
TS,21.9,108.1,45
TS,21.9,108.4,45
TS,21.8,108.8,45
TS,21.7,109.4,45
TS,21.7,110.2,45
TS,21.9,110.9,45
HU,13.4,100.7,75
HU,13.5,101.7,75
HU,13.8,102.6,75
HU,14.3,103.3,75
HU,14.8,104,75
HU,15.2,105,75
HU,15.5,106.1,75
HU,15.7,107.1,75
HU,16,108,75
HU,16.3,109.1,75
HU,16.7,110.2,75
HU,17.2,111.5,75
HU,17.8,112.8,75
HU,18.2,113.5,75
HU,18.6,114.1,75
HU,19,114.8,75
HU,19.4,115.6,75
HU,19.6,116.4,75
HU,19.7,117.3,75
HU,19.8,118.5,75
HU,19.9,119.9,75
TS,14,104,45
TS,14.5,105,45
TS,15.1,105.9,45
TS,15.9,106.7,45
TS,16.7,107.2,45
TS,17.3,107.6,45
TS,17.9,107.9,45
TS,18.7,108.2,45
TS,19.6,108.5,45
TS,20.9,108.8,45
TS,22.2,108.9,45
TS,23.1,108.9,45
TS,24,108.9,45
TS,12.9,112.7,45
TS,13.5,112.2,45
TS,14.1,111.7,45
TS,14.8,111.2,45
TS,15.4,110.7,45
TS,16,110.1,45
TS,16.6,109.4,45
TS,17.1,108.8,45
TS,17.5,108.1,45
TS,14.6,99.3,45
TS,14.8,100,45
TS,15.1,100.7,45
TS,15.6,101.3,45
TS,16.1,101.9,45
TS,16.3,102.7,45
TS,16.5,103.6,45
TS,16.8,104.2,45
TS,17.1,104.8,45
TS,17.3,105.7,45
TS,17.4,106.6,45
TS,17.5,107.3,45
TS,17.7,107.7,45
TS,18,107.9,45
TS,18.3,108,45
TS,18.6,108,45
TS,19,108,45
TS,19.5,108.7,45
TS,20.2,109.6,45
TS,20.7,110.5,45
TS,21.1,111.3,45
TS,21.4,112.1,45
TS,21.7,112.9,45
TS,22,113.6,45
TS,22.4,114.4,45
TS,22.8,115.1,45
HU,16.5,115,75
HU,16.8,115.4,75
HU,17,115.8,75
HU,17.1,116.3,75
HU,17.1,116.8,75
HU,17.2,117.7,75
HU,17.4,118.6,75
HU,17.6,119.2,75
HU,17.8,119.8,75
HU,18.2,121,75
HU,18.6,122.2,75
HU,19.2,123.6,75
HU,20,125,75
HU,17.6,108.1,75
HU,18.5,109.3,75
HU,19.2,110.2,75
HU,19.8,110.9,75
HU,20.4,111.5,75
HU,21,111.9,75
HU,21.5,112.3,75
HU,21.8,112.9,75
HU,22,113.6,75
HU,22.2,114.2,75
HU,22.5,114.8,75
HU,22.7,115.5,75
HU,23,116.3,75
HU,23.2,116.9,75
HU,23.5,117.6,75
HU,23.8,118.3,75
HU,24,118.9,75
HU,24.4,119.4,75
HU,24.8,119.9,75
HU,25.2,120.4,75
HU,25.5,120.9,75
TS,25.8,121.2,45
TS,26,121.5,45
TS,26.8,122.4,45
TS,27.5,123.4,45
TS,27.7,124.2,45
TS,27.8,125,45
TS,27.9,125.8,45
TS,28,126.5,45
TS,18.1,107.9,45
TS,18.1,108.7,45
TS,18.1,109.3,45
TS,18.2,109.7,45
TS,18.4,110,45
TS,18.7,110.5,45
TS,19,111,45
TS,19.4,111.5,45
TS,19.8,111.9,45
HU,17.4,121.1,75
HU,17.4,122,75
HU,17.4,122.9,75
HU,17.5,124,75
HU,17.6,125,75
HU,17.7,125.6,75
HU,17.8,126.3,75
HU,17.9,127.1,75
HU,18,127.9,75
TS,19.1,109.4,45
TS,19.6,110.1,45
TS,20.3,110.7,45
TS,21.1,111.2,45
TS,21.9,111.7,45
TS,22.5,112.2,45
TS,23.1,112.6,45
TS,23.7,112.9,45
TS,24.4,113,45
TS,17.8,122.5,45
TS,18.7,123.8,45
TS,19.5,124.7,45
TS,20.2,125.2,45
TS,20.7,125.3,45
HU,17.9,108.1,75
HU,18.5,108.6,75
HU,19.2,108.9,75
HU,19.5,108.9,75
HU,19.8,108.9,75
HU,20.3,108.8,75
HU,20.7,108.7,75
HU,21.1,108.4,75
HU,21.6,108.2,75
HU,21.9,108.1,75
HU,22.3,108.1,75
HU,22.8,108.1,75
HU,23.3,108.2,75
HU,13.9,101.7,75
HU,14.5,102,75
HU,15,102.4,75
HU,15.7,103,75
HU,16.3,103.7,75
HU,17,104.5,75
HU,17.7,105.2,75
HU,18.3,105.6,75
HU,18.9,106.1,75
HU,19.3,106.9,75
HU,19.5,107.8,75
HU,19.6,108.7,75
HU,19.8,109.6,75
HU,19.9,110.4,75
HU,20.1,111.2,75
HU,20.2,111.7,75
HU,20.3,112.2,75
HU,20.4,112.6,75
HU,20.5,113,75
HU,20.4,113.4,75
HU,20.3,113.8,75
HU,20.2,114.3,75
HU,20.1,114.7,75
HU,20,115.2,75
HU,19.8,115.7,75
TS,13,93.2,45
TS,13.5,94.1,45
TS,14,94.7,45
TS,14.4,95.2,45
TS,14.7,95.6,45
TS,14.9,96,45
TS,15.1,96.4,45
TS,15.3,96.8,45
TS,15.5,97.3,45
TS,15.6,97.9,45
TS,15.7,98.5,45
TS,15.8,99.3,45
TS,16,100,45
TS,16.1,100.5,45
TS,16.3,101,45
TS,16.4,101.5,45
TS,16.5,102,45
TS,16.8,102.2,45
TS,17.2,102.2,45
TS,15.1,105.2,45
TS,15.7,106,45
TS,16.4,106.8,45
TS,16.8,107.3,45
